Nhà Mạc
Nhà Lê sơ
Nhà Nguyễn
Nhà Hồ
Thời kỳ Bắc thuộc lần thứ hai
Nhà Đinh
Nhà Hậu Lê
Nhà Trần
Kênh Nhà Lê
Nhà Tây Sơn
Thời kỳ Bắc thuộc lần thứ tư
Thời kỳ Bắc thuộc lần thứ nhất
Nhà Ngô
Nhà Lý
Nhà Hậu Trần
Nhà Lê trung hưng
Nhà Tiền Lý
Nhà Triệu
Nhà Tiền Lê
Thời kỳ Bắc thuộc lần thứ ba
